model name,trial,rubric items deducted
Claude Opus 4,1,"2a,2c"
Claude Opus 4,2,"2a,2c"
Claude Opus 4,3,"2a,2c"
Claude Opus 4.1,1,"2a,2c"
Claude Opus 4.1,2,"2a,2c"
Claude Opus 4.1,3,"2a,2c"
Claude Sonnet 3.7,1,"2a,2c"
Claude Sonnet 3.7,2,"2a,2c"
Claude Sonnet 3.7,3,"2a,2c"
Claude Sonnet 4,1,"2a,2c"
Claude Sonnet 4,2,"2a,2c"
Claude Sonnet 4,3,"2a,2c"
Deepseek-R1,1,"2a,2c"
Deepseek-R1,2,"2a,2c"
Deepseek-R1,3,"2a,2c"
Gemini 2.0 Flash,1,"2a,2c"
Gemini 2.0 Flash,2,"2a,2c"
Gemini 2.0 Flash,3,"2a,2c"
Gemini 2.5 Flash,1,"2a,2c"
Gemini 2.5 Flash,2,"2a,2c"
Gemini 2.5 Flash,3,"2a,2c"
Gemini 2.5 Pro,1,"2a,2c"
Gemini 2.5 Pro,2,"2a,2c"
Gemini 2.5 Pro,3,"2a,2c"
Gpt-4.1,1,"2a,2c"
Gpt-4.1,2,"2a,2c"
Gpt-4.1,3,"2a,2c"
Gpt-5,1,"2a,2c"
Gpt-5,2,"2a,2c"
Gpt-5,3,"2a,2c"
gpt-oss-120,1,"2a,2c"
gpt-oss-120,2,"2a,2c"
gpt-oss-120,3,"2a,2c"
gpt-oss-20,1,"1a,2a,2c"
gpt-oss-20,2,"2a,2c"
gpt-oss-20,3,"2a,2c"
o3,1,"2a,2c"
o3,2,"2a,2c"
o3,3,"2a,2c"
Grok 3,1,"2a,2c"
Grok 3,2,"2a,2c"
Grok 3,3,"2a,2c"
Grok 4,1,"2a,2c"
Grok 4,2,2c
Grok 4,3,"2a,2c"
Llama3.3 70,1,"2a,2c"
Llama3.3 70,2,"2a,2c"
Llama3.3 70,3,"2a,2c"
Llama 4 Scout,1,"1a,2a,2c"
Llama 4 Scout,2,"2a,2c"
Llama 4 Scout,3,"2a,2c"
Mistral Large,1,"2a,2c"
Mistral Large,2,"2a,2c"
Mistral Large,3,"2a,2c"
Qwen 3,1,"2a,2c"
Qwen 3,2,"2a,2c"
Qwen 3,3,"2a,2c"
Qwen 3 Coder,1,"2a,2c"
Qwen 3 Coder,2,"2a,2c"
Qwen 3 Coder,3,"2a,2c"
